transaction_id,vendor_name,amount_ghs,timestamp,approval_status,category,is_fraud_label
65ea9b6c-1178-41a0-955d-15f249b7cade,Smith Group,15345.77,2026-05-20T05:41:28,Pending,Office Supplies,False
b5090d76-10a7-425f-b2a4-2e0c192be624,Santana-Faulkner,19379.7,2026-05-20T06:03:49,Flagged,IT Equipment,False
b9596a2e-5f66-4a5d-8766-998e4034e3e3,Kramer PLC,15369.42,2026-05-20T10:42:21,Pending,Office Supplies,False
535d68b7-67c1-4216-b0ea-aaf9df81e72c,"Norman, Floyd and Fernandez",28677.51,2026-05-20T11:48:19,Pending,Marketing,False
e9ccd5eb-5aa3-450f-b08d-91ac16948514,Jackson-Webster,47011.24,2026-05-20T14:11:08,Flagged,Logistics,False
218a7595-28a6-4f78-a96b-977c27ea0eac,"Jordan, Patterson and Woods",40370.55,2026-05-20T14:58:42,Approved,Office Supplies,False
eff3589f-3129-4e6b-b7cf-b0fa7c560bd1,Edwards Inc,21899.8,2026-05-20T15:04:54,Pending,IT Equipment,False
aa5d862c-136f-4cb3-a24d-166622b9872f,Hernandez Ltd,32499.51,2026-05-20T17:01:08,Approved,Marketing,False
11f552a1-7cb3-4140-8478-bdfe5602b6a0,Jones and Sons,9110.8,2026-05-21T01:23:59,Approved,Marketing,False
6c36f018-7580-4406-9160-6345cc34a75b,Arnold-Patterson,10689.94,2026-05-21T02:37:50,Approved,Logistics,False
74b298b3-d770-45e3-b5e8-f17aa01e41d5,Williams-Turner,30841.15,2026-05-21T04:02:06,Approved,Logistics,False
5606ec81-dddc-4472-b6c9-b9a34216f1bb,Adkins PLC,7999.98,2026-05-21T06:44:33,Flagged,Marketing,False
570d5e64-dc41-4170-ad4c-fbfe4762b33f,Smith Inc,30968.98,2026-05-21T12:14:22,Pending,Office Supplies,False
f0b89413-3dc0-45eb-a16d-aff1ce211c34,Perez-White,6688.24,2026-05-21T13:04:00,Flagged,Office Supplies,False
2abb4106-2c2b-40ae-a654-1bb12b5ff370,"Gonzales, Smith and Davis",17741.16,2026-05-21T14:24:35,Pending,Office Supplies,False
939165cc-1343-4d50-85d8-36970c40d479,"Burns, Hart and Wells",33347.65,2026-05-21T18:51:55,Pending,IT Equipment,False
25589a5f-38f2-4f4c-a4ff-c52d744fad32,"Torres, Burns and Garner",2705.31,2026-05-21T22:54:32,Pending,IT Equipment,False
c11567c2-d2be-409f-bf8c-b7a158791e8c,Mccall-Prince,3330.95,2026-05-22T03:14:40,Pending,IT Equipment,False
a15bc888-e372-4c6c-8ae8-5c768d2cdbb7,"Sheppard, Gutierrez and White",49114.75,2026-05-22T09:55:41,Approved,Office Supplies,False
c1c52f56-5e2c-442a-a8ad-683121f77cf7,Drake and Sons,44192.39,2026-05-22T13:00:50,Approved,Office Supplies,False
f4d69ecf-6f6b-4e8b-81ef-40f6e0655260,Rodriguez and Sons,10058.99,2026-05-22T17:08:41,Flagged,IT Equipment,False
dae4377b-1268-475f-8694-eb959bc8537e,Young Group,8053.25,2026-05-22T17:20:41,Pending,IT Equipment,False
a88e6155-e0f6-4a81-b0af-d45da00ecac8,Velasquez LLC,28770.11,2026-05-22T18:14:40,Pending,Logistics,False
0a5195aa-d5ff-4591-acd1-8d3122d79bbc,"Griffith, Mitchell and Pugh",36367.76,2026-05-22T18:36:14,Flagged,IT Equipment,False
1ba61af1-1b41-4574-b644-d89955e1f089,Zamora-Briggs,41111.32,2026-05-23T00:45:32,Flagged,IT Equipment,False
909fe3a3-a5fe-4751-b718-cee4df10ed17,"Friedman, Sanders and Ayala",39760.98,2026-05-23T01:07:53,Flagged,IT Equipment,False
a2a204c4-fd35-4e8d-b8e0-97f1662435a9,Reid-Martinez,30523.64,2026-05-23T03:18:57,Approved,IT Equipment,False
a619e572-3f5d-412b-9efb-d13afe8b05bb,"Sandoval, Jones and Figueroa",11988.18,2026-05-23T03:32:05,Approved,Office Supplies,False
609601db-15bf-49e6-bb38-88538dbe0731,"Jones, Bernard and Williams",23035.28,2026-05-23T04:24:13,Approved,Office Supplies,False
7d8efb9f-4b49-4a3c-b1a2-02b581b31af9,Norris-Harrison,275.52,2026-05-23T08:09:17,Approved,IT Equipment,False
929ae3df-a031-4868-82dd-d1872be7c814,White-Rose,46025.3,2026-05-23T09:12:18,Pending,Logistics,False
9b4a1f79-233b-4125-8c0e-db6992e89be6,Harris Ltd,17166.47,2026-05-23T12:55:48,Flagged,IT Equipment,False
a66d9bd6-0690-4cb9-be8f-17fceb25df01,Hammond-Lewis,38234.74,2026-05-23T17:30:50,Flagged,IT Equipment,False
4f0e6b0e-1179-4659-979a-e78aefdc5234,Brown LLC,3305.23,2026-05-23T17:39:53,Approved,Logistics,False
2fdee7e7-c785-4a20-9855-c3b366cb2526,"Hall, Rodgers and Jefferson",5962.83,2026-05-23T19:00:35,Approved,Marketing,False
ba4cabed-1cde-489d-963a-ea4da36303c3,Thompson-Brooks,14264.67,2026-05-23T19:14:07,Approved,Logistics,False
78f93544-0831-41de-919d-d0b82601037d,Walker-Miller,5876.8,2026-05-23T20:04:29,Flagged,Marketing,False
1563cd77-f3c7-463a-80bc-2a48b301fb40,Hernandez-Bowman,29321.2,2026-05-23T20:15:43,Flagged,Marketing,False
42d4e731-e134-455a-a6f3-bb3b0138da31,Weaver-Thompson,37003.24,2026-05-23T20:33:37,Approved,Logistics,False
e0559c43-0dca-4a74-bbcf-51e3a19fa02d,"Vasquez, Smith and Vincent",5243.86,2026-05-24T06:34:43,Pending,IT Equipment,False
3e699415-9a12-462a-a820-9d99c9efb8a3,Flores-Johnson,4916.0,2026-05-24T09:00:00,Pending,IT Equipment,True
95ac9029-30da-41af-ba08-612716401062,Flores-Johnson,4994.0,2026-05-24T09:15:00,Flagged,Logistics,True
99f36e09-5c45-4537-a1bc-228d06d2689b,Flores-Johnson,4997.0,2026-05-24T09:30:00,Flagged,IT Equipment,True
d9e4d771-991e-4654-8e86-aa4d3ccb244f,Flores-Johnson,4948.0,2026-05-24T09:45:00,Approved,Marketing,True
9f9257e9-113b-4b80-98de-b978196cc893,Chase Group,37573.49,2026-05-24T09:48:15,Pending,Marketing,False
617bd990-a972-4f9e-8415-a7a073d14c33,Flores-Johnson,4944.0,2026-05-24T10:00:00,Pending,Marketing,True
cd50ca77-4f5f-46b0-9191-6b794d90ef8a,Flores-Johnson,4944.0,2026-05-24T10:15:00,Approved,Office Supplies,True
dab0b5f8-cb70-4bac-bf7f-c303bc994df6,Flores-Johnson,4931.0,2026-05-24T10:30:00,Approved,IT Equipment,True
54efc586-e75d-4dc0-b2e6-b4eaf73a6d7b,Flores-Johnson,4975.0,2026-05-24T10:45:00,Approved,Logistics,True
d1a190c8-8ee0-46eb-851c-3dffdcc5feb2,Flores-Johnson,4939.0,2026-05-24T11:00:00,Approved,IT Equipment,True
54182901-9e41-4772-bbfb-cc5ac2d92d61,Flores-Johnson,4921.0,2026-05-24T11:15:00,Approved,IT Equipment,True
b70a6e15-b59c-4937-86a2-8363241a0ad3,Clay Group,31759.62,2026-05-24T15:13:18,Approved,IT Equipment,False
f9277f01-ab6d-4710-9bdb-ef2b38b23b0a,Landry Ltd,34437.4,2026-05-24T21:08:43,Approved,Marketing,False
e6770c36-0d77-4df9-9480-a765f63ca5c1,"Fitzgerald, Brown and Edwards",14367.7,2026-05-25T00:56:19,Flagged,Marketing,False
7340f9f1-e982-45de-b941-02a628aaba8b,"Lewis, Fowler and Maddox",29900.11,2026-05-25T01:57:18,Pending,Office Supplies,False
d08413f9-12e5-44b2-b799-cfd8d74de665,Martinez-Dunlap,8540.11,2026-05-25T02:05:34,Approved,Marketing,False
f5d2fc81-9c7d-464d-8320-cd7c81e8f632,"Mitchell, Mendoza and Peterson",6823.1,2026-05-25T03:48:54,Pending,Marketing,False
63d4ec68-06ca-4c33-9d24-ba7acb338703,Santiago Inc,32705.22,2026-05-25T09:59:31,Flagged,IT Equipment,False
97150e70-4e72-4b74-997a-fa42b7e39fde,"Ramirez, Walker and Ray",12084.97,2026-05-25T10:16:22,Flagged,Marketing,False
fed86a15-bada-4443-b5a4-490dddd7b75a,Gordon-Henderson,21101.45,2026-05-25T10:59:58,Approved,IT Equipment,False
e8086894-73f7-446a-9c51-a4cea1fbcb78,"Hicks, Adkins and Phillips",13564.66,2026-05-25T11:15:14,Approved,Marketing,False
13284640-6bca-4846-87f8-5acb4d55488d,Jones Ltd,38664.28,2026-05-25T21:17:03,Approved,Logistics,False
0346110f-33f0-4338-ae50-3848413c53bf,"Thompson, Lang and Oneill",8651.43,2026-05-25T22:52:26,Approved,Office Supplies,False
e39aba40-c198-4541-9dce-cf256bd47346,Johnson PLC,13352.42,2026-05-25T23:05:49,Pending,Office Supplies,False
858e2ad7-4d15-430c-9f01-19a148175398,Graves-Weaver,3068.54,2026-05-26T00:30:15,Approved,Marketing,False
466e98a7-2de8-4419-a32b-d288e75f9a13,Jenkins-Pierce,42520.37,2026-05-26T02:11:24,Approved,IT Equipment,False
e761dff8-bcbe-4c8c-ad59-f1151166860c,Lowery-Jones,38263.75,2026-05-26T10:19:45,Approved,Marketing,False
7bf9a211-dff2-42bc-ad4e-8b15bfa5968a,Salazar Inc,30731.7,2026-05-26T13:18:10,Pending,Marketing,False
f81a4563-4fbe-47c8-9249-6cceb22752af,"Rivera, Hendricks and Flynn",13748.73,2026-05-26T14:23:10,Approved,IT Equipment,False
a94929e5-1898-4010-a368-a11b40b0da8d,Vargas LLC,438143.74,2026-05-26T16:50:54,Flagged,Marketing,True
ecf95632-b1e5-4f97-b389-8d2c15078a80,"Patel, Adams and Lopez",18756.83,2026-05-26T19:37:52,Approved,Office Supplies,False
413c99bc-f043-4baf-9b97-8ab6eca44f9d,"Clark, Salinas and Guerra",47758.59,2026-05-26T21:14:59,Pending,Marketing,False
5641c0bc-1941-4cac-aba4-e5a2f4909194,"Arroyo, Miller and Tucker",3896.3,2026-05-26T21:22:31,Flagged,Office Supplies,False
b02090ec-246d-4d3e-8ef0-1e28da8978b3,Bauer PLC,4900.6,2026-05-27T00:14:26,Flagged,Office Supplies,False
780c0dda-1908-4b9a-849a-1473156a2f3b,Porter PLC,25389.14,2026-05-27T01:34:06,Flagged,Logistics,False
4e9f530d-ce9c-4c8c-8046-f0f152385128,Brown Group,21743.1,2026-05-27T02:26:13,Flagged,Marketing,False
a2961a1e-0b5e-4162-8d4b-e499065b1ddf,"Turner, Tyler and Pierce",41084.78,2026-05-27T05:55:23,Flagged,IT Equipment,False
e9f7806d-a3d6-478f-bedf-fd31e23dd1ad,"Clay, Alvarez and Williams",15157.27,2026-05-27T09:20:31,Flagged,IT Equipment,False
d3d7b4f9-2d36-4023-9827-d54f63f40d92,"Chen, Burton and Brooks",32177.18,2026-05-27T12:03:51,Flagged,Logistics,False
19729a86-0619-4aa7-8a57-f5e23aeaef6f,Nunez-Nicholson,18927.11,2026-05-27T13:15:30,Flagged,Office Supplies,False
2a634a61-8eda-42ac-acbb-f0e3d659ed21,Turner PLC,6413.97,2026-05-27T14:23:48,Flagged,Marketing,False
d30bd4da-8621-4f02-abb9-b348731e3ab5,"Brown, Joseph and Ray",28236.34,2026-05-27T15:41:05,Pending,Marketing,False
71289223-2469-48e0-ba2b-84e8097fcd70,Martinez Group,11055.27,2026-05-27T18:42:37,Flagged,Marketing,False
10f1c442-c7b1-40e1-8b85-fb92cd8f7cad,Martinez-Anderson,45191.29,2026-05-27T19:15:41,Pending,Logistics,False
9d0f2ff3-8e42-4a71-82a4-5fef2ed3a3cd,West-Smith,49831.9,2026-05-27T20:42:28,Approved,IT Equipment,False
173d3696-9809-49fb-954c-d158826f48a4,"Jones, Stanley and Mejia",37937.24,2026-05-27T22:01:38,Approved,Logistics,False
e8638720-df5f-4e0f-a2b1-b3a944c6cbaf,"Richardson, Carpenter and Nixon",37334.61,2026-05-27T22:39:33,Approved,IT Equipment,False
ae541fdb-8240-431d-9d2c-b10f3422e956,Brown PLC,33054.67,2026-05-27T22:46:18,Approved,Logistics,False
4dfe1a90-3276-4d70-bb11-6bed1560ee19,Mason-Snyder,45957.51,2026-05-27T23:32:30,Flagged,Logistics,False
14cc1b7a-5c11-472f-980d-403384c84e9f,Turner PLC,6413.97,2026-05-28T01:23:48,Pending,Office Supplies,True
6f38988e-5f6f-44a7-aeb3-b802d9174360,"Brandt, Morrison and Hernandez",16614.92,2026-05-28T02:00:43,Flagged,Office Supplies,False
892d55bc-89fb-41bd-9347-60d181a7777b,Pena LLC,10518.35,2026-05-28T04:09:08,Pending,Office Supplies,False
